Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
EFF84AD651B1479B9E566C7699399305,"Describe how everyday movements can be used in dance (e.g., walk quickly, stretch slowly).",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
50199820C0AD4D0EA674498677813EF4,"Description, Analysis, and Criticism of Dance",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
AC17576A1AEF4D16BE4BF0030A96A184,"Aesthetic Valuing - Responding to, Analyzing, and Making Judgments About Works of Dance",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
9917A6E9310846EBB91052EA587CAC19,Name and play children's dance games from countries around the world.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
18527365CCBE435080743BC9427D4D25,Development of Dance,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
13D2D492B55D42DA9715EB4DF4510B3A,Historical and Cultural Context - Understanding the Historical Contributions and Cultural Dimensions of Dance,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
9D02DCA4A15342A89E579AF2D16948AC,Respond spontaneously to different types of music and rhythms.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
758E71D16E10489388CE5EB974CB68DD,"Respond to visual and sound stimuli (e.g., bubbles, feathers, bell, clock, ball) with original movement.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
BA4120A95BAA4A23B6E8CFCE8A79F62C,Create movements that reflect a variety of daily tasks and activities.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
6CE5BADB76A34161B3D4BD5FA403DBE0,Creation/Invention of Dance Movements,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
5048D2936DB947BCA67CAC64AE7240FA,"Creative Expression - Creating, Performing, and Participating in Dance",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
3A660BD806E14F159FF556A7F8B572F0,"Name the opposites in basic movements (e.g., big/small).",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
43AA5BF2B8854FAB93BF50F23B502080,Development of Dance Vocabulary,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
5613313D7BAC417199B35D8E7D1A0E70,"Respond in movement to opposites (e.g., big/small, fast/slow, tight/loose, move/stop).",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
